path,p,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuuuu-5_4.json,2,1748,6,6,1742,169,493,49997,50000,49828,49507,1.2073,100,100,2,2,2,2,98,98,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100|100-uuuuu-5_5.json,2,1550,6,6,1544,616,814,49991,49994,49375,49180,1.1107,100,100,2,2,2,2,98,98,100,2,2,98,100,2,2,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ll-2_1.json,2,2135,261,243,1874,0,0,19882,19857,19882,19857,0.1878,200,200,127,131,123,125,73,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ll-2_2.json,2,2095,250,243,1845,5,3,19654,19598,19649,19595,0.1936,200,200,129,120,128,120,71,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ll-2_3.json,2,2119,279,251,1840,0,0,19873,19884,19873,19884,0.1896,200,200,131,136,125,132,69,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ll-2_4.json,2,2072,258,249,1814,3,1,19779,19694,19776,19693,0.1843,200,200,129,128,127,125,71,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ll-2_5.json,2,2112,265,250,1847,0,1,19799,19845,19799,19844,0.1851,200,200,133,128,129,125,67,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-mm-2_1.json,2,1745,37,23,1708,4,2,17517,18172,17513,18170,0.1889,200,200,16,13,14,11,184,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-mm-2_2.json,2,1694,29,23,1665,4,3,18129,17823,18125,17820,0.1877,200,200,16,11,14,11,184,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-mm-2_3.json,2,1998,36,22,1962,0,1,18437,16805,18437,16804,0.1849,200,200,15,13,13,11,185,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-mm-2_4.json,2,1935,26,20,1909,0,0,17153,17057,17153,17057,0.2124,200,200,11,13,11,11,189,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-mm-2_5.json,2,2023,28,22,1995,0,1,18612,16710,18612,16709,0.1929,200,200,11,15,11,13,189,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ul-2_1.json,2,565,133,130,432,17,168,19843,20000,19826,19832,0.1872,200,200,132,2,129,2,68,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ul-2_2.json,2,469,128,124,341,42,13,19945,19953,19903,19940,0.1859,200,200,127,2,123,2,73,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-200|200-ul-2_3.json,2,565,134,130,431,17,168,19890,19904,19873,19736,0.202,200,200,133,2,129,2,67,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
