prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
l-l_10_10_0.75_2_,10,10,14,0.0028259754180908203,0,0.0,l,l,10,10,2,0.75
l-l_10_10_0.75_3_,10,10,11,0.0017499923706054688,0,0.0,l,l,10,10,3,0.75
l-l_10_10_0.75_4_,10,10,19,0.003445148468017578,0,0.0,l,l,10,10,4,0.75
l-l_10_10_0.75_5_,10,10,12,0.002580881118774414,0,0.0,l,l,10,10,5,0.75
l-m_10_10_0.75_1_,10,10,21,0.004584789276123047,0,0.0,l,m,10,10,1,0.75
l-m_10_10_0.75_2_,10,10,18,0.0029997825622558594,0,0.0,l,m,10,10,2,0.75
l-m_10_10_0.75_3_,10,10,21,0.0036928653717041016,0,0.0,l,m,10,10,3,0.75
l-m_10_10_0.75_4_,10,10,29,0.004674196243286133,0,0.0,l,m,10,10,4,0.75
l-m_10_10_0.75_5_,10,10,14,0.002110004425048828,0,0.0,l,m,10,10,5,0.75
l-u_10_10_0.75_1_,10,10,36,0.0062520503997802734,2,0.2,l,u,10,10,1,0.75
l-u_10_10_0.75_2_,10,10,18,0.002122163772583008,2,0.2,l,u,10,10,2,0.75
l-u_10_10_0.75_3_,10,10,21,0.0038230419158935547,1,0.1,l,u,10,10,3,0.75
l-u_10_10_0.75_4_,10,10,23,0.0026891231536865234,6,0.6,l,u,10,10,4,0.75
l-u_10_10_0.75_5_,10,10,14,0.0019049644470214844,0,0.0,l,u,10,10,5,0.75
m-l_10_10_0.75_1_,10,10,22,0.0034699440002441406,0,0.0,m,l,10,10,1,0.75
m-l_10_10_0.75_2_,10,10,17,0.003076791763305664,0,0.0,m,l,10,10,2,0.75
m-l_10_10_0.75_3_,10,10,16,0.002750396728515625,0,0.0,m,l,10,10,3,0.75
m-l_10_10_0.75_4_,10,10,26,0.004517078399658203,0,0.0,m,l,10,10,4,0.75
m-l_10_10_0.75_5_,10,10,21,0.004623889923095703,0,0.0,m,l,10,10,5,0.75
m-m_10_10_0.75_1_,10,10,22,0.003270864486694336,0,0.0,m,m,10,10,1,0.75
m-m_10_10_0.75_2_,10,10,20,0.003242969512939453,0,0.0,m,m,10,10,2,0.75
m-m_10_10_0.75_3_,10,10,17,0.0026030540466308594,1,0.1,m,m,10,10,3,0.75
m-m_10_10_0.75_4_,10,10,13,0.001958131790161133,0,0.0,m,m,10,10,4,0.75
m-m_10_10_0.75_5_,10,10,11,0.0017437934875488281,1,0.1,m,m,10,10,5,0.75
m-u_10_10_0.75_1_,10,10,23,0.0031800270080566406,4,0.4,m,u,10,10,1,0.75
m-u_10_10_0.75_2_,10,10,27,0.0031251907348632812,3,0.3,m,u,10,10,2,0.75
