prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
u-l_100_100_extreme_1_,100,100,84,0.8112139701843262,0,0.0,u,l,100,100,1,extreme,10000,273,11,100
u-l_100_100_extreme_2_,100,100,86,0.7682721614837646,0,0.0,u,l,100,100,2,extreme,10000,266,7,100
u-l_100_100_extreme_3_,100,100,99,0.9991910457611084,0,0.0,u,l,100,100,3,extreme,10000,300,11,100
u-l_100_100_extreme_4_,100,100,85,0.6275069713592529,0,0.0,u,l,100,100,4,extreme,10000,237,13,100
u-l_100_100_extreme_5_,100,100,107,1.0865719318389893,0,0.0,u,l,100,100,5,extreme,10000,325,15,100
u-m_100_100_extreme_1_,100,100,39,0.24381208419799805,0,0.0,u,m,100,100,1,extreme,10000,282,26,100
u-m_100_100_extreme_2_,100,100,34,0.14808201789855957,0,0.0,u,m,100,100,2,extreme,10000,281,14,100
u-m_100_100_extreme_3_,100,100,27,0.1181647777557373,0,0.0,u,m,100,100,3,extreme,10000,288,21,100
u-m_100_100_extreme_4_,100,100,17,0.06834292411804199,0,0.0,u,m,100,100,4,extreme,10000,232,18,100
u-m_100_100_extreme_5_,100,100,37,0.20374178886413574,0,0.0,u,m,100,100,5,extreme,10000,320,18,100
u-u_100_100_extreme_1_,100,100,73,0.43956613540649414,0,0.0,u,u,100,100,1,extreme,10000,305,56,100
u-u_100_100_extreme_2_,100,100,144,0.9607977867126465,0,0.0,u,u,100,100,2,extreme,10000,337,100,100
u-u_100_100_extreme_3_,100,100,174,1.245999813079834,0,0.0,u,u,100,100,3,extreme,10000,302,26,82
u-u_100_100_extreme_4_,100,100,120,0.8531911373138428,0,0.0,u,u,100,100,4,extreme,10000,337,100,100
u-u_100_100_extreme_5_,100,100,149,1.018052101135254,44,0.44,u,u,100,100,5,extreme,10000,305,100,56
l-l_150_150_extreme_1_,150,150,761,45.41988396644592,0,0.0,l,l,150,150,1,extreme,22500,1487,150,150
l-l_150_150_extreme_2_,150,150,705,41.42018413543701,1,0.006666666666666667,l,l,150,150,2,extreme,22500,1527,150,149
l-l_150_150_extreme_3_,150,150,552,28.277007818222046,0,0.0,l,l,150,150,3,extreme,22500,1064,148,148
l-l_150_150_extreme_4_,150,150,734,44.85254907608032,0,0.0,l,l,150,150,4,extreme,22500,1527,149,150
l-l_150_150_extreme_5_,150,150,761,47.57983994483948,0,0.0,l,l,150,150,5,extreme,22500,1487,150,150
l-m_150_150_extreme_1_,150,150,363,8.551702976226807,0,0.0,l,m,150,150,1,extreme,22500,866,150,89
l-m_150_150_extreme_2_,150,150,237,4.4090917110443115,0,0.0,l,m,150,150,2,extreme,22500,791,150,85
l-m_150_150_extreme_3_,150,150,301,5.477629899978638,1,0.006666666666666667,l,m,150,150,3,extreme,22500,935,150,81
l-m_150_150_extreme_4_,150,150,281,5.573132038116455,2,0.013333333333333334,l,m,150,150,4,extreme,22500,1035,150,84
l-m_150_150_extreme_5_,150,150,190,4.109748125076294,1,0.006666666666666667,l,m,150,150,5,extreme,22500,927,150,85
l-u_150_150_extreme_1_,150,150,402,6.54533314704895,146,0.9733333333333334,l,u,150,150,1,extreme,22500,313,150,4
l-u_150_150_extreme_2_,150,150,311,5.04102087020874,120,0.8,l,u,150,150,2,extreme,22500,367,150,10
l-u_150_150_extreme_3_,150,150,293,4.728847980499268,141,0.94,l,u,150,150,3,extreme,22500,362,150,9
l-u_150_150_extreme_4_,150,150,300,4.967367887496948,136,0.9066666666666666,l,u,150,150,4,extreme,22500,423,150,14
l-u_150_150_extreme_5_,150,150,448,7.184205055236816,137,0.9133333333333333,l,u,150,150,5,extreme,22500,439,150,13
m-l_150_150_extreme_1_,150,150,344,12.727329015731812,0,0.0,m,l,150,150,1,extreme,22500,927,85,150
