prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
m-l_150_150_0.25_3_,150,150,245,9.060501098632812,0,0.0,m,l,150,150,3,0.25
m-l_150_150_0.25_4_,150,150,310,10.216850280761719,0,0.0,m,l,150,150,4,0.25
m-l_150_150_0.25_5_,150,150,305,12.067867279052734,0,0.0,m,l,150,150,5,0.25
m-m_150_150_0.25_1_,150,150,643,27.304069757461548,22,0.14666666666666667,m,m,150,150,1,0.25
m-m_150_150_0.25_2_,150,150,726,30.41968011856079,44,0.29333333333333333,m,m,150,150,2,0.25
m-m_150_150_0.25_3_,150,150,594,25.5302677154541,29,0.19333333333333333,m,m,150,150,3,0.25
m-m_150_150_0.25_4_,150,150,623,33.50641393661499,28,0.18666666666666668,m,m,150,150,4,0.25
m-m_150_150_0.25_5_,150,150,536,27.262759923934937,17,0.11333333333333333,m,m,150,150,5,0.25
m-u_150_150_0.25_1_,150,150,266,4.1549389362335205,125,0.8333333333333334,m,u,150,150,1,0.25
m-u_150_150_0.25_2_,150,150,485,9.245676040649414,111,0.74,m,u,150,150,2,0.25
m-u_150_150_0.25_3_,150,150,253,4.012369871139526,118,0.7866666666666666,m,u,150,150,3,0.25
m-u_150_150_0.25_4_,150,150,281,5.958514928817749,114,0.76,m,u,150,150,4,0.25
m-u_150_150_0.25_5_,150,150,565,10.245534181594849,110,0.7333333333333333,m,u,150,150,5,0.25
u-l_150_150_0.25_1_,150,150,135,2.844249725341797,0,0.0,u,l,150,150,1,0.25
u-l_150_150_0.25_2_,150,150,139,2.748868703842163,0,0.0,u,l,150,150,2,0.25
u-l_150_150_0.25_3_,150,150,124,2.0122580528259277,0,0.0,u,l,150,150,3,0.25
u-l_150_150_0.25_4_,150,150,120,2.026978015899658,0,0.0,u,l,150,150,4,0.25
u-l_150_150_0.25_5_,150,150,121,1.576436996459961,0,0.0,u,l,150,150,5,0.25
u-m_150_150_0.25_1_,150,150,94,1.4061250686645508,0,0.0,u,m,150,150,1,0.25
u-m_150_150_0.25_2_,150,150,76,1.1042532920837402,0,0.0,u,m,150,150,2,0.25
u-m_150_150_0.25_3_,150,150,58,0.6380360126495361,0,0.0,u,m,150,150,3,0.25
u-m_150_150_0.25_4_,150,150,84,1.1925818920135498,0,0.0,u,m,150,150,4,0.25
u-m_150_150_0.25_5_,150,150,118,2.20951509475708,0,0.0,u,m,150,150,5,0.25
u-u_150_150_0.25_1_,150,150,266,5.000661134719849,78,0.52,u,u,150,150,1,0.25
u-u_150_150_0.25_2_,150,150,175,3.874552011489868,0,0.0,u,u,150,150,2,0.25
u-u_150_150_0.25_3_,150,150,189,3.8418099880218506,0,0.0,u,u,150,150,3,0.25
u-u_150_150_0.25_4_,150,150,277,6.640092849731445,57,0.38,u,u,150,150,4,0.25
u-u_150_150_0.25_5_,150,150,150,2.623028039932251,0,0.0,u,u,150,150,5,0.25
l-l_150_150_0.5_1_,150,150,782,54.128185987472534,0,0.0,l,l,150,150,1,0.5
l-l_150_150_0.5_2_,150,150,765,54.16420102119446,1,0.006666666666666667,l,l,150,150,2,0.5
l-l_150_150_0.5_3_,150,150,551,29.76016592979431,0,0.0,l,l,150,150,3,0.5
l-l_150_150_0.5_4_,150,150,827,60.350518226623535,0,0.0,l,l,150,150,4,0.5
l-l_150_150_0.5_5_,150,150,803,57.56739592552185,0,0.0,l,l,150,150,5,0.5
l-m_150_150_0.5_1_,150,150,689,25.35988712310791,30,0.2,l,m,150,150,1,0.5
l-m_150_150_0.5_2_,150,150,463,14.547781944274902,31,0.20666666666666667,l,m,150,150,2,0.5
l-m_150_150_0.5_3_,150,150,711,23.9257652759552,34,0.22666666666666666,l,m,150,150,3,0.5
l-m_150_150_0.5_4_,150,150,707,24.89455485343933,26,0.17333333333333334,l,m,150,150,4,0.5
l-m_150_150_0.5_5_,150,150,649,24.809263944625854,32,0.21333333333333335,l,m,150,150,5,0.5
l-u_150_150_0.5_1_,150,150,403,6.70090126991272,146,0.9733333333333334,l,u,150,150,1,0.5
l-u_150_150_0.5_2_,150,150,747,14.328426122665405,140,0.9333333333333333,l,u,150,150,2,0.5
l-u_150_150_0.5_3_,150,150,328,5.754313945770264,141,0.94,l,u,150,150,3,0.5
l-u_150_150_0.5_4_,150,150,450,10.422188758850098,136,0.9066666666666666,l,u,150,150,4,0.5
l-u_150_150_0.5_5_,150,150,467,9.553839206695557,137,0.9133333333333333,l,u,150,150,5,0.5
m-l_150_150_0.5_1_,150,150,355,15.586626768112183,0,0.0,m,l,150,150,1,0.5
m-l_150_150_0.5_2_,150,150,296,14.012809038162231,0,0.0,m,l,150,150,2,0.5
m-l_150_150_0.5_3_,150,150,261,10.612365961074829,0,0.0,m,l,150,150,3,0.5
m-l_150_150_0.5_4_,150,150,338,12.22738003730774,0,0.0,m,l,150,150,4,0.5
m-l_150_150_0.5_5_,150,150,313,13.224638938903809,0,0.0,m,l,150,150,5,0.5
m-m_150_150_0.5_1_,150,150,804,40.22673201560974,35,0.23333333333333334,m,m,150,150,1,0.5
m-m_150_150_0.5_2_,150,150,754,37.277390003204346,52,0.3466666666666667,m,m,150,150,2,0.5
m-m_150_150_0.5_3_,150,150,617,30.087705850601196,37,0.24666666666666667,m,m,150,150,3,0.5
m-m_150_150_0.5_4_,150,150,703,40.48473596572876,36,0.24,m,m,150,150,4,0.5
m-m_150_150_0.5_5_,150,150,808,43.025511026382446,36,0.24,m,m,150,150,5,0.5
m-u_150_150_0.5_1_,150,150,266,4.294742822647095,125,0.8333333333333334,m,u,150,150,1,0.5
m-u_150_150_0.5_2_,150,150,485,9.294594764709473,111,0.74,m,u,150,150,2,0.5
m-u_150_150_0.5_3_,150,150,253,4.113081216812134,118,0.7866666666666666,m,u,150,150,3,0.5
m-u_150_150_0.5_4_,150,150,281,6.061280012130737,114,0.76,m,u,150,150,4,0.5
m-u_150_150_0.5_5_,150,150,565,10.2728271484375,110,0.7333333333333333,m,u,150,150,5,0.5
u-l_150_150_0.5_1_,150,150,144,3.128436803817749,0,0.0,u,l,150,150,1,0.5
u-l_150_150_0.5_2_,150,150,150,3.0605201721191406,0,0.0,u,l,150,150,2,0.5
u-l_150_150_0.5_3_,150,150,135,2.32936692237854,0,0.0,u,l,150,150,3,0.5
u-l_150_150_0.5_4_,150,150,132,2.312955856323242,0,0.0,u,l,150,150,4,0.5
u-l_150_150_0.5_5_,150,150,131,1.8963658809661865,0,0.0,u,l,150,150,5,0.5
u-m_150_150_0.5_1_,150,150,109,1.7538399696350098,0,0.0,u,m,150,150,1,0.5
u-m_150_150_0.5_2_,150,150,114,2.2597529888153076,0,0.0,u,m,150,150,2,0.5
u-m_150_150_0.5_3_,150,150,90,1.2007839679718018,0,0.0,u,m,150,150,3,0.5
u-m_150_150_0.5_4_,150,150,106,1.9191899299621582,0,0.0,u,m,150,150,4,0.5
u-m_150_150_0.5_5_,150,150,101,1.4152288436889648,0,0.0,u,m,150,150,5,0.5
u-u_150_150_0.5_1_,150,150,276,5.289596080780029,78,0.52,u,u,150,150,1,0.5
u-u_150_150_0.5_2_,150,150,181,4.778848886489868,0,0.0,u,u,150,150,2,0.5
u-u_150_150_0.5_3_,150,150,186,3.666867971420288,0,0.0,u,u,150,150,3,0.5
u-u_150_150_0.5_4_,150,150,292,7.360962867736816,57,0.38,u,u,150,150,4,0.5
u-u_150_150_0.5_5_,150,150,145,2.646243095397949,0,0.0,u,u,150,150,5,0.5
l-l_150_150_0.75_1_,150,150,847,62.92738199234009,0,0.0,l,l,150,150,1,0.75
l-l_150_150_0.75_2_,150,150,825,64.07765293121338,1,0.006666666666666667,l,l,150,150,2,0.75
l-l_150_150_0.75_3_,150,150,555,30.724427938461304,0,0.0,l,l,150,150,3,0.75
l-l_150_150_0.75_4_,150,150,832,60.51009511947632,0,0.0,l,l,150,150,4,0.75
l-l_150_150_0.75_5_,150,150,814,61.115312337875366,0,0.0,l,l,150,150,5,0.75
l-m_150_150_0.75_1_,150,150,717,25.68985605239868,48,0.32,l,m,150,150,1,0.75
l-m_150_150_0.75_2_,150,150,646,23.76945996284485,52,0.3466666666666667,l,m,150,150,2,0.75
l-m_150_150_0.75_3_,150,150,894,37.67773389816284,52,0.3466666666666667,l,m,150,150,3,0.75
l-m_150_150_0.75_4_,150,150,1082,48.11459708213806,45,0.3,l,m,150,150,4,0.75
l-m_150_150_0.75_5_,150,150,765,31.834726095199585,51,0.34,l,m,150,150,5,0.75
l-u_150_150_0.75_1_,150,150,403,6.475271940231323,146,0.9733333333333334,l,u,150,150,1,0.75
l-u_150_150_0.75_2_,150,150,747,13.670035123825073,140,0.9333333333333333,l,u,150,150,2,0.75
l-u_150_150_0.75_3_,150,150,328,5.479781150817871,141,0.94,l,u,150,150,3,0.75
l-u_150_150_0.75_4_,150,150,450,9.640584945678711,136,0.9066666666666666,l,u,150,150,4,0.75
l-u_150_150_0.75_5_,150,150,467,8.72291898727417,137,0.9133333333333333,l,u,150,150,5,0.75
m-l_150_150_0.75_1_,150,150,370,16.89470672607422,0,0.0,m,l,150,150,1,0.75
m-l_150_150_0.75_2_,150,150,305,17.516376972198486,0,0.0,m,l,150,150,2,0.75
m-l_150_150_0.75_3_,150,150,268,12.759486198425293,0,0.0,m,l,150,150,3,0.75
m-l_150_150_0.75_4_,150,150,349,12.705013036727905,0,0.0,m,l,150,150,4,0.75
m-l_150_150_0.75_5_,150,150,325,14.169955968856812,0,0.0,m,l,150,150,5,0.75
