prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size
m-u_10_10_0.5_1_,10,10,18,0.0022361278533935547,4,0.4,m,u,10,10,1,0.5,100,36
m-u_10_10_0.5_2_,10,10,24,0.002584695816040039,3,0.3,m,u,10,10,2,0.5,100,26
m-u_10_10_0.5_3_,10,10,20,0.0038061141967773438,1,0.1,m,u,10,10,3,0.5,100,39
m-u_10_10_0.5_4_,10,10,18,0.002176046371459961,1,0.1,m,u,10,10,4,0.5,100,27
m-u_10_10_0.5_5_,10,10,24,0.0024161338806152344,5,0.5,m,u,10,10,5,0.5,100,32
u-l_10_10_0.5_1_,10,10,15,0.002193927764892578,0,0.0,u,l,10,10,1,0.5,100,32
u-l_10_10_0.5_2_,10,10,10,0.0012097358703613281,0,0.0,u,l,10,10,2,0.5,100,21
u-l_10_10_0.5_3_,10,10,16,0.0027399063110351562,0,0.0,u,l,10,10,3,0.5,100,39
u-l_10_10_0.5_4_,10,10,11,0.0013959407806396484,0,0.0,u,l,10,10,4,0.5,100,27
u-l_10_10_0.5_5_,10,10,13,0.002708911895751953,0,0.0,u,l,10,10,5,0.5,100,46
u-m_10_10_0.5_1_,10,10,12,0.0016508102416992188,0,0.0,u,m,10,10,1,0.5,100,32
u-m_10_10_0.5_2_,10,10,14,0.0025148391723632812,0,0.0,u,m,10,10,2,0.5,100,27
u-m_10_10_0.5_3_,10,10,15,0.002504110336303711,0,0.0,u,m,10,10,3,0.5,100,39
u-m_10_10_0.5_4_,10,10,9,0.0010938644409179688,0,0.0,u,m,10,10,4,0.5,100,26
u-m_10_10_0.5_5_,10,10,11,0.00144195556640625,0,0.0,u,m,10,10,5,0.5,100,36
u-u_10_10_0.5_1_,10,10,26,0.003901243209838867,4,0.4,u,u,10,10,1,0.5,100,38
u-u_10_10_0.5_2_,10,10,14,0.0016489028930664062,0,0.0,u,u,10,10,2,0.5,100,30
u-u_10_10_0.5_3_,10,10,11,0.0022230148315429688,0,0.0,u,u,10,10,3,0.5,100,41
u-u_10_10_0.5_4_,10,10,6,0.0006010532379150391,0,0.0,u,u,10,10,4,0.5,100,30
u-u_10_10_0.5_5_,10,10,12,0.0016918182373046875,0,0.0,u,u,10,10,5,0.5,100,38
l-l_10_10_0.75_1_,10,10,18,0.0033037662506103516,0,0.0,l,l,10,10,1,0.75,100,43
l-l_10_10_0.75_2_,10,10,14,0.002769947052001953,0,0.0,l,l,10,10,2,0.75,100,42
l-l_10_10_0.75_3_,10,10,11,0.0015931129455566406,0,0.0,l,l,10,10,3,0.75,100,28
l-l_10_10_0.75_4_,10,10,19,0.003284931182861328,0,0.0,l,l,10,10,4,0.75,100,42
l-l_10_10_0.75_5_,10,10,12,0.002485036849975586,0,0.0,l,l,10,10,5,0.75,100,43
l-m_10_10_0.75_1_,10,10,21,0.004334926605224609,0,0.0,l,m,10,10,1,0.75,100,53
l-m_10_10_0.75_2_,10,10,18,0.0029239654541015625,0,0.0,l,m,10,10,2,0.75,100,38
l-m_10_10_0.75_3_,10,10,21,0.0035321712493896484,0,0.0,l,m,10,10,3,0.75,100,36
l-m_10_10_0.75_4_,10,10,29,0.004550933837890625,0,0.0,l,m,10,10,4,0.75,100,36
l-m_10_10_0.75_5_,10,10,14,0.0020241737365722656,0,0.0,l,m,10,10,5,0.75,100,34
l-u_10_10_0.75_1_,10,10,36,0.006065845489501953,2,0.2,l,u,10,10,1,0.75,100,46
l-u_10_10_0.75_2_,10,10,18,0.0020558834075927734,2,0.2,l,u,10,10,2,0.75,100,27
l-u_10_10_0.75_3_,10,10,21,0.003772258758544922,1,0.1,l,u,10,10,3,0.75,100,39
l-u_10_10_0.75_4_,10,10,23,0.002547025680541992,6,0.6,l,u,10,10,4,0.75,100,21
l-u_10_10_0.75_5_,10,10,14,0.001875162124633789,0,0.0,l,u,10,10,5,0.75,100,32
m-l_10_10_0.75_1_,10,10,22,0.0033652782440185547,0,0.0,m,l,10,10,1,0.75,100,34
m-l_10_10_0.75_2_,10,10,17,0.0029458999633789062,0,0.0,m,l,10,10,2,0.75,100,36
m-l_10_10_0.75_3_,10,10,16,0.0025720596313476562,0,0.0,m,l,10,10,3,0.75,100,36
m-l_10_10_0.75_4_,10,10,26,0.004339933395385742,0,0.0,m,l,10,10,4,0.75,100,38
m-l_10_10_0.75_5_,10,10,21,0.004395008087158203,0,0.0,m,l,10,10,5,0.75,100,53
m-m_10_10_0.75_1_,10,10,22,0.003159046173095703,0,0.0,m,m,10,10,1,0.75,100,34
m-m_10_10_0.75_2_,10,10,20,0.0030732154846191406,0,0.0,m,m,10,10,2,0.75,100,34
m-m_10_10_0.75_3_,10,10,17,0.002518177032470703,1,0.1,m,m,10,10,3,0.75,100,29
m-m_10_10_0.75_4_,10,10,13,0.0018470287322998047,0,0.0,m,m,10,10,4,0.75,100,34
m-m_10_10_0.75_5_,10,10,11,0.0016620159149169922,1,0.1,m,m,10,10,5,0.75,100,34
m-u_10_10_0.75_1_,10,10,23,0.0030171871185302734,4,0.4,m,u,10,10,1,0.75,100,36
m-u_10_10_0.75_2_,10,10,27,0.0029561519622802734,3,0.3,m,u,10,10,2,0.75,100,26
m-u_10_10_0.75_3_,10,10,22,0.0044400691986083984,1,0.1,m,u,10,10,3,0.75,100,39
m-u_10_10_0.75_4_,10,10,21,0.0028128623962402344,1,0.1,m,u,10,10,4,0.75,100,27
m-u_10_10_0.75_5_,10,10,24,0.002429962158203125,5,0.5,m,u,10,10,5,0.75,100,32
u-l_10_10_0.75_1_,10,10,15,0.0022749900817871094,0,0.0,u,l,10,10,1,0.75,100,32
u-l_10_10_0.75_2_,10,10,10,0.0012097358703613281,0,0.0,u,l,10,10,2,0.75,100,21
u-l_10_10_0.75_3_,10,10,16,0.0026879310607910156,0,0.0,u,l,10,10,3,0.75,100,39
u-l_10_10_0.75_4_,10,10,11,0.0014007091522216797,0,0.0,u,l,10,10,4,0.75,100,27
u-l_10_10_0.75_5_,10,10,13,0.002663135528564453,0,0.0,u,l,10,10,5,0.75,100,46
u-m_10_10_0.75_1_,10,10,10,0.0012760162353515625,0,0.0,u,m,10,10,1,0.75,100,32
u-m_10_10_0.75_2_,10,10,14,0.0026578903198242188,0,0.0,u,m,10,10,2,0.75,100,27
u-m_10_10_0.75_3_,10,10,19,0.0034589767456054688,0,0.0,u,m,10,10,3,0.75,100,39
u-m_10_10_0.75_4_,10,10,10,0.0013158321380615234,0,0.0,u,m,10,10,4,0.75,100,26
u-m_10_10_0.75_5_,10,10,12,0.001650094985961914,0,0.0,u,m,10,10,5,0.75,100,36
u-u_10_10_0.75_1_,10,10,26,0.003902912139892578,4,0.4,u,u,10,10,1,0.75,100,38
u-u_10_10_0.75_2_,10,10,16,0.0019221305847167969,0,0.0,u,u,10,10,2,0.75,100,30
u-u_10_10_0.75_3_,10,10,14,0.0028579235076904297,0,0.0,u,u,10,10,3,0.75,100,41
u-u_10_10_0.75_4_,10,10,8,0.0009007453918457031,0,0.0,u,u,10,10,4,0.75,100,30
u-u_10_10_0.75_5_,10,10,13,0.0022242069244384766,0,0.0,u,u,10,10,5,0.75,100,38
l-l_10_10_all_1_,10,10,19,0.0038640499114990234,0,0.0,l,l,10,10,1,all,100,43
l-l_10_10_all_2_,10,10,14,0.00279998779296875,0,0.0,l,l,10,10,2,all,100,42
l-l_10_10_all_3_,10,10,11,0.0016520023345947266,0,0.0,l,l,10,10,3,all,100,28
l-l_10_10_all_4_,10,10,19,0.003368854522705078,0,0.0,l,l,10,10,4,all,100,42
l-l_10_10_all_5_,10,10,12,0.0023860931396484375,0,0.0,l,l,10,10,5,all,100,43
l-m_10_10_all_1_,10,10,29,0.007162809371948242,0,0.0,l,m,10,10,1,all,100,53
l-m_10_10_all_2_,10,10,23,0.003738880157470703,0,0.0,l,m,10,10,2,all,100,38
l-m_10_10_all_3_,10,10,24,0.004212856292724609,0,0.0,l,m,10,10,3,all,100,36
l-m_10_10_all_4_,10,10,29,0.004632711410522461,1,0.1,l,m,10,10,4,all,100,36
l-m_10_10_all_5_,10,10,18,0.0028448104858398438,0,0.0,l,m,10,10,5,all,100,34
l-u_10_10_all_1_,10,10,42,0.008009910583496094,2,0.2,l,u,10,10,1,all,100,46
l-u_10_10_all_2_,10,10,21,0.002444028854370117,2,0.2,l,u,10,10,2,all,100,27
l-u_10_10_all_3_,10,10,24,0.004408121109008789,1,0.1,l,u,10,10,3,all,100,39
l-u_10_10_all_4_,10,10,23,0.0026578903198242188,6,0.6,l,u,10,10,4,all,100,21
l-u_10_10_all_5_,10,10,16,0.002276182174682617,0,0.0,l,u,10,10,5,all,100,32
m-l_10_10_all_1_,10,10,23,0.0037648677825927734,0,0.0,m,l,10,10,1,all,100,34
m-l_10_10_all_2_,10,10,17,0.002869129180908203,0,0.0,m,l,10,10,2,all,100,36
m-l_10_10_all_3_,10,10,16,0.0026121139526367188,0,0.0,m,l,10,10,3,all,100,36
m-l_10_10_all_4_,10,10,26,0.004238128662109375,0,0.0,m,l,10,10,4,all,100,38
m-l_10_10_all_5_,10,10,21,0.0044100284576416016,0,0.0,m,l,10,10,5,all,100,53
m-m_10_10_all_1_,10,10,28,0.004271030426025391,0,0.0,m,m,10,10,1,all,100,34
m-m_10_10_all_2_,10,10,18,0.002750873565673828,0,0.0,m,m,10,10,2,all,100,34
m-m_10_10_all_3_,10,10,17,0.002474069595336914,1,0.1,m,m,10,10,3,all,100,29
m-m_10_10_all_4_,10,10,16,0.0026280879974365234,0,0.0,m,m,10,10,4,all,100,34
